================ Training Loss (Thu May 25 06:05:14 2023) ================
(epoch: 2, iters: 20, time: 0.190, data: 0.287) D_A: 0.357 G_A: 0.405 cycle_A: 2.177 idt_A: 0.773 D_B: 0.280 G_B: 0.384 cycle_B: 1.865 idt_B: 0.973 
(epoch: 3, iters: 40, time: 0.190, data: 0.001) D_A: 0.205 G_A: 0.344 cycle_A: 1.905 idt_A: 0.799 D_B: 0.252 G_B: 0.382 cycle_B: 1.742 idt_B: 0.897 
(epoch: 4, iters: 60, time: 0.190, data: 0.001) D_A: 0.288 G_A: 0.663 cycle_A: 2.214 idt_A: 0.780 D_B: 0.277 G_B: 0.307 cycle_B: 1.747 idt_B: 1.078 
(epoch: 5, iters: 80, time: 0.402, data: 0.001) D_A: 0.273 G_A: 0.336 cycle_A: 1.832 idt_A: 0.764 D_B: 0.253 G_B: 0.485 cycle_B: 1.747 idt_B: 0.767 
(epoch: 7, iters: 20, time: 0.190, data: 0.420) D_A: 0.283 G_A: 0.404 cycle_A: 2.216 idt_A: 0.717 D_B: 0.127 G_B: 0.418 cycle_B: 1.691 idt_B: 0.926 
(epoch: 8, iters: 40, time: 0.190, data: 0.001) D_A: 0.221 G_A: 0.361 cycle_A: 2.278 idt_A: 0.636 D_B: 0.403 G_B: 0.433 cycle_B: 1.730 idt_B: 1.214 
(epoch: 9, iters: 60, time: 0.190, data: 0.001) D_A: 0.149 G_A: 0.372 cycle_A: 1.385 idt_A: 0.705 D_B: 0.606 G_B: 0.667 cycle_B: 1.664 idt_B: 0.532 
(epoch: 10, iters: 80, time: 0.427, data: 0.001) D_A: 0.227 G_A: 0.634 cycle_A: 2.725 idt_A: 0.670 D_B: 0.156 G_B: 0.339 cycle_B: 1.808 idt_B: 1.086 
(epoch: 12, iters: 20, time: 0.190, data: 0.400) D_A: 0.159 G_A: 0.762 cycle_A: 1.523 idt_A: 0.512 D_B: 0.186 G_B: 0.312 cycle_B: 1.346 idt_B: 0.683 
(epoch: 13, iters: 40, time: 0.189, data: 0.001) D_A: 0.197 G_A: 0.226 cycle_A: 2.245 idt_A: 0.772 D_B: 0.410 G_B: 0.894 cycle_B: 1.624 idt_B: 0.910 
(epoch: 14, iters: 60, time: 0.190, data: 0.001) D_A: 0.185 G_A: 0.611 cycle_A: 2.014 idt_A: 0.512 D_B: 0.118 G_B: 0.921 cycle_B: 2.317 idt_B: 0.839 
(epoch: 15, iters: 80, time: 0.480, data: 0.001) D_A: 0.126 G_A: 0.461 cycle_A: 1.361 idt_A: 0.544 D_B: 0.169 G_B: 0.555 cycle_B: 1.382 idt_B: 0.540 
(epoch: 17, iters: 20, time: 0.190, data: 0.404) D_A: 0.268 G_A: 0.954 cycle_A: 1.693 idt_A: 1.640 D_B: 0.258 G_B: 0.512 cycle_B: 3.811 idt_B: 0.710 
(epoch: 18, iters: 40, time: 0.190, data: 0.001) D_A: 0.251 G_A: 0.142 cycle_A: 2.302 idt_A: 0.738 D_B: 0.100 G_B: 0.778 cycle_B: 1.229 idt_B: 0.738 
(epoch: 19, iters: 60, time: 0.189, data: 0.001) D_A: 0.183 G_A: 0.376 cycle_A: 1.819 idt_A: 0.398 D_B: 0.217 G_B: 0.725 cycle_B: 1.343 idt_B: 0.919 
(epoch: 20, iters: 80, time: 0.510, data: 0.001) D_A: 0.114 G_A: 0.500 cycle_A: 1.544 idt_A: 0.499 D_B: 0.097 G_B: 0.170 cycle_B: 1.141 idt_B: 0.687 
(epoch: 22, iters: 20, time: 0.189, data: 0.375) D_A: 0.150 G_A: 0.597 cycle_A: 1.423 idt_A: 0.577 D_B: 0.065 G_B: 0.270 cycle_B: 1.278 idt_B: 0.612 
(epoch: 23, iters: 40, time: 0.190, data: 0.001) D_A: 0.088 G_A: 0.401 cycle_A: 2.383 idt_A: 0.811 D_B: 0.152 G_B: 0.808 cycle_B: 1.750 idt_B: 0.813 
(epoch: 24, iters: 60, time: 0.190, data: 0.001) D_A: 0.076 G_A: 0.599 cycle_A: 0.992 idt_A: 0.465 D_B: 0.108 G_B: 0.713 cycle_B: 1.142 idt_B: 0.336 
(epoch: 25, iters: 80, time: 0.532, data: 0.001) D_A: 0.281 G_A: 0.267 cycle_A: 2.495 idt_A: 0.712 D_B: 0.242 G_B: 0.099 cycle_B: 1.218 idt_B: 1.457 
(epoch: 27, iters: 20, time: 0.189, data: 0.408) D_A: 0.292 G_A: 0.560 cycle_A: 0.953 idt_A: 0.844 D_B: 0.421 G_B: 0.107 cycle_B: 1.521 idt_B: 0.411 
(epoch: 28, iters: 40, time: 0.189, data: 0.001) D_A: 0.167 G_A: 0.417 cycle_A: 2.127 idt_A: 1.180 D_B: 0.239 G_B: 0.228 cycle_B: 2.600 idt_B: 0.660 
(epoch: 29, iters: 60, time: 0.190, data: 0.001) D_A: 0.189 G_A: 0.258 cycle_A: 1.346 idt_A: 0.520 D_B: 0.247 G_B: 0.865 cycle_B: 1.258 idt_B: 0.461 
(epoch: 30, iters: 80, time: 0.758, data: 0.001) D_A: 0.215 G_A: 0.269 cycle_A: 1.310 idt_A: 0.829 D_B: 0.252 G_B: 0.581 cycle_B: 2.043 idt_B: 0.615 
(epoch: 32, iters: 20, time: 0.189, data: 0.413) D_A: 0.121 G_A: 0.431 cycle_A: 1.182 idt_A: 1.387 D_B: 0.283 G_B: 0.231 cycle_B: 2.936 idt_B: 0.625 
(epoch: 33, iters: 40, time: 0.189, data: 0.001) D_A: 0.186 G_A: 0.486 cycle_A: 1.058 idt_A: 0.541 D_B: 0.162 G_B: 0.165 cycle_B: 1.170 idt_B: 0.433 
(epoch: 34, iters: 60, time: 0.189, data: 0.001) D_A: 0.238 G_A: 0.688 cycle_A: 1.230 idt_A: 0.718 D_B: 0.147 G_B: 0.445 cycle_B: 1.096 idt_B: 0.587 
(epoch: 35, iters: 80, time: 0.592, data: 0.001) D_A: 0.082 G_A: 0.575 cycle_A: 1.286 idt_A: 0.451 D_B: 0.154 G_B: 0.630 cycle_B: 1.327 idt_B: 0.479 
(epoch: 37, iters: 20, time: 0.190, data: 0.377) D_A: 0.293 G_A: 0.926 cycle_A: 1.210 idt_A: 0.917 D_B: 0.110 G_B: 1.077 cycle_B: 1.658 idt_B: 0.549 
(epoch: 38, iters: 40, time: 0.189, data: 0.001) D_A: 0.199 G_A: 0.414 cycle_A: 1.180 idt_A: 0.552 D_B: 0.194 G_B: 0.349 cycle_B: 1.177 idt_B: 0.622 
(epoch: 39, iters: 60, time: 0.189, data: 0.001) D_A: 0.227 G_A: 0.209 cycle_A: 1.711 idt_A: 0.822 D_B: 0.293 G_B: 0.344 cycle_B: 1.392 idt_B: 0.636 
(epoch: 40, iters: 80, time: 0.600, data: 0.001) D_A: 0.158 G_A: 0.606 cycle_A: 1.638 idt_A: 0.908 D_B: 0.128 G_B: 0.412 cycle_B: 2.331 idt_B: 0.567 
(epoch: 42, iters: 20, time: 0.190, data: 0.341) D_A: 0.232 G_A: 0.458 cycle_A: 1.958 idt_A: 0.659 D_B: 0.108 G_B: 0.079 cycle_B: 1.872 idt_B: 0.878 
(epoch: 43, iters: 40, time: 0.190, data: 0.001) D_A: 0.108 G_A: 0.400 cycle_A: 1.076 idt_A: 0.382 D_B: 0.224 G_B: 0.372 cycle_B: 0.739 idt_B: 0.577 
(epoch: 44, iters: 60, time: 0.190, data: 0.001) D_A: 0.160 G_A: 0.471 cycle_A: 1.310 idt_A: 0.553 D_B: 0.254 G_B: 0.449 cycle_B: 1.502 idt_B: 0.528 
(epoch: 45, iters: 80, time: 0.632, data: 0.001) D_A: 0.205 G_A: 0.548 cycle_A: 1.182 idt_A: 0.669 D_B: 0.399 G_B: 0.551 cycle_B: 1.322 idt_B: 0.374 
(epoch: 47, iters: 20, time: 0.189, data: 0.418) D_A: 0.163 G_A: 0.392 cycle_A: 1.610 idt_A: 0.482 D_B: 0.075 G_B: 0.636 cycle_B: 1.440 idt_B: 0.745 
(epoch: 48, iters: 40, time: 0.189, data: 0.002) D_A: 0.113 G_A: 0.330 cycle_A: 0.959 idt_A: 0.473 D_B: 0.093 G_B: 0.650 cycle_B: 1.068 idt_B: 0.438 
