================ Training Loss (Fri Jun  2 15:00:10 2023) ================
(epoch: 2, iters: 20, time: 0.199, data: 0.326) D_A: 0.320 G_A: 0.326 cycle_A: 9.853 idt_A: 0.756 D_B: 0.446 G_B: 0.444 cycle_B: 1.684 idt_B: 4.306 
(epoch: 3, iters: 40, time: 0.199, data: 0.001) D_A: 0.174 G_A: 0.369 cycle_A: 2.349 idt_A: 1.866 D_B: 0.269 G_B: 0.371 cycle_B: 3.804 idt_B: 1.108 
(epoch: 4, iters: 60, time: 0.199, data: 0.002) D_A: 0.268 G_A: 0.566 cycle_A: 3.354 idt_A: 2.253 D_B: 0.250 G_B: 0.487 cycle_B: 4.818 idt_B: 1.412 
(epoch: 5, iters: 80, time: 0.426, data: 0.001) D_A: 0.272 G_A: 0.390 cycle_A: 3.396 idt_A: 1.996 D_B: 0.467 G_B: 0.404 cycle_B: 4.470 idt_B: 1.889 
(epoch: 7, iters: 20, time: 0.199, data: 0.473) D_A: 0.181 G_A: 0.681 cycle_A: 4.002 idt_A: 3.026 D_B: 0.308 G_B: 0.128 cycle_B: 6.173 idt_B: 1.261 
(epoch: 8, iters: 40, time: 0.199, data: 0.001) D_A: 0.273 G_A: 0.209 cycle_A: 1.487 idt_A: 0.910 D_B: 0.307 G_B: 0.336 cycle_B: 1.911 idt_B: 0.795 
(epoch: 9, iters: 60, time: 0.199, data: 0.002) D_A: 0.242 G_A: 0.187 cycle_A: 5.763 idt_A: 1.464 D_B: 0.195 G_B: 0.553 cycle_B: 3.097 idt_B: 1.910 
(epoch: 10, iters: 80, time: 0.457, data: 0.002) D_A: 0.452 G_A: 0.272 cycle_A: 2.130 idt_A: 1.351 D_B: 0.251 G_B: 0.133 cycle_B: 2.772 idt_B: 1.611 
(epoch: 12, iters: 20, time: 0.198, data: 0.446) D_A: 0.299 G_A: 0.832 cycle_A: 3.583 idt_A: 0.989 D_B: 0.229 G_B: 0.346 cycle_B: 2.239 idt_B: 1.418 
(epoch: 13, iters: 40, time: 0.199, data: 0.002) D_A: 0.463 G_A: 0.126 cycle_A: 1.683 idt_A: 0.686 D_B: 0.452 G_B: 1.075 cycle_B: 1.150 idt_B: 1.033 
(epoch: 14, iters: 60, time: 0.199, data: 0.002) D_A: 0.455 G_A: 0.833 cycle_A: 3.097 idt_A: 0.637 D_B: 0.177 G_B: 0.309 cycle_B: 1.075 idt_B: 1.775 
(epoch: 15, iters: 80, time: 0.486, data: 0.002) D_A: 0.289 G_A: 0.346 cycle_A: 3.809 idt_A: 2.281 D_B: 0.113 G_B: 0.458 cycle_B: 4.036 idt_B: 0.852 
(epoch: 17, iters: 20, time: 0.199, data: 0.461) D_A: 0.292 G_A: 0.877 cycle_A: 2.579 idt_A: 0.986 D_B: 0.187 G_B: 0.314 cycle_B: 1.793 idt_B: 0.987 
(epoch: 18, iters: 40, time: 0.199, data: 0.001) D_A: 0.096 G_A: 0.868 cycle_A: 2.423 idt_A: 0.996 D_B: 0.198 G_B: 0.519 cycle_B: 1.743 idt_B: 0.944 
(epoch: 19, iters: 60, time: 0.199, data: 0.002) D_A: 0.154 G_A: 0.277 cycle_A: 1.582 idt_A: 1.363 D_B: 0.445 G_B: 0.733 cycle_B: 2.887 idt_B: 0.789 
(epoch: 20, iters: 80, time: 0.508, data: 0.002) D_A: 0.157 G_A: 0.828 cycle_A: 2.145 idt_A: 0.571 D_B: 0.223 G_B: 0.202 cycle_B: 1.450 idt_B: 0.922 
(epoch: 22, iters: 20, time: 0.199, data: 0.427) D_A: 0.185 G_A: 0.581 cycle_A: 1.610 idt_A: 0.459 D_B: 0.318 G_B: 0.744 cycle_B: 1.235 idt_B: 0.665 
(epoch: 23, iters: 40, time: 0.199, data: 0.002) D_A: 0.070 G_A: 0.835 cycle_A: 5.517 idt_A: 0.342 D_B: 0.074 G_B: 0.485 cycle_B: 1.074 idt_B: 2.856 
